Gss year for this respondent                       ;Fathers highest degree;Mothers highest degree;Respondents sex;Race of respondent;Number of persons in household;Respondents income;Total family income;Vote obama or mccain;Vote obama or romney;Rs highest degree;Age of respondent;Number of children;Respondent id number;Number of hours worked last week;Rs occupational prestige score  (1970);Govt or private employee;Travel time to work;Marital status;Fathers census occupation code (1970);Mothers census occupation code (1980);Number of brothers and sisters;Ballot used for interview
2018;Not applicable;Bachelor;Female;White;2;Not applicable;Not applicable;Not applicable;Not applicable;Bachelor;50;3;1124;Not applicable;0;Private;Not applicable;Divorced;Not applicable;Not applicable;0;Ballot b
2018;Bachelor;Bachelor;Male;White;2;Not applicable;Not applicable;Not applicable;Not applicable;High school;21;0;1125;36;0;Private;Not applicable;Never married;Not applicable;Not applicable;1;Ballot a
2018;Not applicable;Bachelor;Male;White;2;Not applicable;Not applicable;Not applicable;Obama;Bachelor;29;0;1126;40;0;Private;Not applicable;Married;Not applicable;Not applicable;2;Ballot c
2018;High school;Not applicable;Female;White;2;Not applicable;Not applicable;Not applicable;Not applicable;High school;21;0;1127;24;0;Private;Not applicable;Never married;Not applicable;Not applicable;4;Ballot b
2018;Graduate;High school;Female;Other;3;Not applicable;Not applicable;Not applicable;Not applicable;High school;21;0;1128;Not applicable;0;Private;Not applicable;Never married;Not applicable;Not applicable;3;Ballot c
2018;Graduate;High school;Male;White;2;Not applicable;Not applicable;Not applicable;Obama;Bachelor;25;0;1129;35;0;Private;Not applicable;Never married;Not applicable;Not applicable;3;Ballot b
2018;Graduate;High school;Male;White;1;Not applicable;Not applicable;Not applicable;Not applicable;Junior college;22;0;1130;Not applicable;0;Private;Not applicable;Never married;Not applicable;Not applicable;3;Ballot a
2018;Bachelor;Graduate;Male;Black;1;Not applicable;Not applicable;Not applicable;Not applicable;High school;23;1;1131;Not applicable;0;Private;Not applicable;Never married;Not applicable;Not applicable;4;Ballot c
2018;Graduate;Graduate;Male;White;4;Not applicable;Not applicable;Not applicable;Not applicable;High school;21;0;1132;Not applicable;0;Not applicable;Not applicable;Never married;Not applicable;Not applicable;1;Ballot a
2018;Graduate;Bachelor;Male;White;2;Not applicable;Not applicable;Not applicable;Not applicable;High school;21;0;1133;Not applicable;0;Government;Not applicable;Never married;Not applicable;Not applicable;2;Ballot c
2018;High school;High school;Male;White;4;Not applicable;Not applicable;Not applicable;Obama;Bachelor;55;2;1134;40;0;Private;Not applicable;Married;Not applicable;Not applicable;1;Ballot b
2018;High school;High school;Male;White;5;Not applicable;Not applicable;Not applicable;Romney;Graduate;63;Eight or more;1135;80;0;Private;Not applicable;Married;Not applicable;Not applicable;3;Ballot c
2018;Lt high school;Lt high school;Female;White;1;Not applicable;Not applicable;Not applicable;Obama;High school;86;1;1136;Not applicable;0;Government;Not applicable;Widowed;Not applicable;Not applicable;4;Ballot a
2018;Don't know;High school;Male;White;4;Not applicable;Not applicable;Not applicable;Not applicable;Lt high school;40;4;1137;60;0;Private;Not applicable;Married;Not applicable;Not applicable;2;Ballot c
2018;Not applicable;Lt high school;Male;Other;6;Not applicable;Not applicable;Not applicable;Not applicable;High school;42;3;1138;70;0;Private;Not applicable;Married;Not applicable;Not applicable;6;Ballot b
2018;Lt high school;Lt high school;Female;White;2;Not applicable;Not applicable;Not applicable;Romney;High school;64;2;1139;Not applicable;0;Private;Not applicable;Separated;Not applicable;Not applicable;8;Ballot c
2018;Junior college;Bachelor;Female;White;1;Not applicable;Not applicable;Not applicable;Obama;Bachelor;72;3;1140;Not applicable;0;Government;Not applicable;Divorced;Not applicable;Not applicable;3;Ballot a
2018;Lt high school;High school;Male;White;2;Not applicable;Not applicable;Not applicable;Not applicable;Junior college;84;2;1141;Not applicable;0;Private;Not applicable;Married;Not applicable;Not applicable;0;Ballot b
2018;Bachelor;Junior college;Female;Black;1;Not applicable;Not applicable;Not applicable;Obama;Junior college;30;2;1142;40;0;Private;Not applicable;Never married;Not applicable;Not applicable;5;Ballot b
2018;Not applicable;Bachelor;Male;White;1;Not applicable;Not applicable;Not applicable;Obama;High school;33;0;1143;40;0;Private;Not applicable;Never married;Not applicable;Not applicable;3;Ballot a
2018;High school;Lt high school;Male;White;1;Not applicable;Not applicable;Not applicable;Romney;High school;76;2;1144;Not applicable;0;Private;Not applicable;Widowed;Not applicable;Not applicable;1;Ballot c
2018;Bachelor;Junior college;Male;Other;1;Not applicable;Not applicable;Not applicable;Not applicable;Graduate;28;0;1145;40;0;Private;Not applicable;Never married;Not applicable;Not applicable;1;Ballot b
2018;Graduate;High school;Female;Black;1;Not applicable;Not applicable;Not applicable;Not applicable;Bachelor;23;0;1146;Not applicable;0;Private;Not applicable;Never married;Not applicable;Not applicable;13;Ballot c
2018;Not applicable;High school;Female;White;5;Not applicable;Not applicable;Not applicable;Not applicable;Lt high school;30;3;1147;Not applicable;0;Private;Not applicable;Married;Not applicable;Not applicable;1;Ballot b
2018;Lt high school;Lt high school;Female;Other;4;Not applicable;Not applicable;Not applicable;Not applicable;High school;29;0;1148;36;0;Private;Not applicable;Never married;Not applicable;Not applicable;3;Ballot a
2018;Not applicable;High school;Male;White;3;Not applicable;Not applicable;Not applicable;Not applicable;Lt high school;23;0;1149;60;0;Private;Not applicable;Divorced;Not applicable;Not applicable;9;Ballot c
2018;Lt high school;Lt high school;Male;White;1;Not applicable;Not applicable;Not applicable;Obama;Bachelor;85;0;1150;89;0;Private;Not applicable;Never married;Not applicable;Not applicable;4;Ballot b
2018;High school;Lt high school;Male;Other;4;Not applicable;Not applicable;Not applicable;Didn't vote for president;Lt high school;58;0;1151;Not applicable;0;Private;Not applicable;Married;Not applicable;Not applicable;7;Ballot a
2018;High school;High school;Male;White;2;Not applicable;Not applicable;Not applicable;Obama;High school;86;1;1152;Not applicable;0;Government;Not applicable;Widowed;Not applicable;Not applicable;2;Ballot c
2018;High school;Don't know;Male;White;3;Not applicable;Not applicable;Not applicable;Romney;Graduate;82;6;1153;Not applicable;0;Government;Not applicable;Married;Not applicable;Not applicable;2;Ballot b
2018;Lt high school;High school;Male;Black;3;Not applicable;Not applicable;Not applicable;Obama;High school;50;Eight or more;1154;40;0;Private;Not applicable;Married;Not applicable;Not applicable;5;Ballot a
2018;High school;Bachelor;Male;Black;1;Not applicable;Not applicable;Not applicable;Obama;High school;55;1;1155;40;0;Private;Not applicable;Never married;Not applicable;Not applicable;3;Ballot b
2018;Lt high school;Lt high school;Female;Other;2;Not applicable;Not applicable;Not applicable;Obama;Bachelor;41;3;1156;32;0;Private;Not applicable;Divorced;Not applicable;Not applicable;11;Ballot a
2018;High school;Lt high school;Male;Other;1;Not applicable;Not applicable;Not applicable;Not applicable;High school;22;0;1157;33;0;Private;Not applicable;Never married;Not applicable;Not applicable;4;Ballot c
2018;Lt high school;Lt high school;Male;White;2;Not applicable;Not applicable;Not applicable;Romney;Junior college;28;3;1158;40;0;Private;Not applicable;Married;Not applicable;Not applicable;8;Ballot b
2018;Lt high school;High school;Female;Black;1;Not applicable;Not applicable;Not applicable;Obama;High school;87;5;1159;Not applicable;0;Private;Not applicable;Divorced;Not applicable;Not applicable;1;Ballot a
2018;High school;Bachelor;Male;Other;2;Not applicable;Not applicable;Not applicable;Romney;Bachelor;64;3;1160;2;0;Government;Not applicable;Married;Not applicable;Not applicable;5;Ballot b
2018;Bachelor;High school;Female;White;4;Not applicable;Not applicable;Not applicable;Not applicable;Lt high school;18;0;1161;Not applicable;0;Not applicable;Not applicable;Never married;Not applicable;Not applicable;1;Ballot a
2018;High school;High school;Female;White;2;Not applicable;Not applicable;Not applicable;Obama;High school;73;1;1162;Not applicable;0;Private;Not applicable;Married;Not applicable;Not applicable;3;Ballot b
2018;High school;High school;Female;White;2;Not applicable;Not applicable;Not applicable;Obama;High school;68;0;1163;Not applicable;0;Private;Not applicable;Married;Not applicable;Not applicable;2;Ballot b
2018;Junior college;Junior college;Female;White;3;Not applicable;Not applicable;Not applicable;Romney;Graduate;51;3;1164;1;0;Government;Not applicable;Married;Not applicable;Not applicable;2;Ballot a
2018;Not applicable;High school;Male;White;2;Not applicable;Not applicable;Not applicable;Romney;Bachelor;67;2;1165;50;0;Don't know;Not applicable;Married;Not applicable;Not applicable;3;Ballot c
2018;Not applicable;Lt high school;Male;White;3;Not applicable;Not applicable;Not applicable;Obama;Bachelor;81;5;1166;Not applicable;0;Private;Not applicable;Widowed;Not applicable;Not applicable;5;Ballot b
2018;High school;High school;Male;White;4;Not applicable;Not applicable;Not applicable;Romney;Bachelor;70;4;1167;Not applicable;0;Private;Not applicable;Divorced;Not applicable;Not applicable;6;Ballot a
2018;High school;High school;Male;White;2;Not applicable;Not applicable;Not applicable;Obama;High school;63;1;1168;Not applicable;0;Private;Not applicable;Married;Not applicable;Not applicable;3;Ballot b
2018;Don't know;Lt high school;Female;White;2;Not applicable;Not applicable;Not applicable;Romney;High school;71;3;1169;Not applicable;0;Private;Not applicable;Married;Not applicable;Not applicable;0;Ballot c
2018;High school;High school;Male;White;4;Not applicable;Not applicable;Not applicable;Not applicable;Bachelor;34;2;1170;50;0;Private;Not applicable;Married;Not applicable;Not applicable;4;Ballot a
2018;High school;High school;Male;White;1;Not applicable;Not applicable;Not applicable;Romney;Bachelor;86;3;1171;3;0;Private;Not applicable;Widowed;Not applicable;Not applicable;0;Ballot a
2018;Not applicable;High school;Female;White;1;Not applicable;Not applicable;Not applicable;Obama;High school;39;0;1172;40;0;Private;Not applicable;Never married;Not applicable;Not applicable;4;Ballot b
2018;Lt high school;Not applicable;Male;White;2;Not applicable;Not applicable;Not applicable;Not applicable;High school;47;1;1173;Not applicable;0;Private;Not applicable;Divorced;Not applicable;Not applicable;4;Ballot a
2018;Not applicable;Lt high school;Female;Black;4;Not applicable;Not applicable;Not applicable;Obama;Bachelor;33;2;1174;50;0;Government;Not applicable;Married;Not applicable;Not applicable;2;Ballot c
2018;Not applicable;Not applicable;Male;Other;2;Not applicable;Not applicable;Not applicable;Not applicable;Bachelor;31;0;1175;42;0;Private;Not applicable;Widowed;Not applicable;Not applicable;Don't know;Ballot b
2018;High school;High school;Female;White;2;Not applicable;Not applicable;Not applicable;Romney;High school;57;1;1176;Not applicable;0;Private;Not applicable;Married;Not applicable;Not applicable;2;Ballot a
2018;Not applicable;Graduate;Male;White;3;Not applicable;Not applicable;Not applicable;Obama;High school;35;1;1177;40;0;Private;Not applicable;Married;Not applicable;Not applicable;4;Ballot b
2018;High school;High school;Female;White;2;Not applicable;Not applicable;Not applicable;Obama;High school;65;2;1178;Not applicable;0;Private;Not applicable;Widowed;Not applicable;Not applicable;3;Ballot a
2018;Don't know;High school;Male;White;1;Not applicable;Not applicable;Not applicable;Obama;High school;69;0;1179;Not applicable;0;Private;Not applicable;Never married;Not applicable;Not applicable;3;Ballot c
2018;Not applicable;Don't know;Female;Black;1;Not applicable;Not applicable;Not applicable;Obama;High school;59;2;1180;Not applicable;0;Private;Not applicable;Divorced;Not applicable;Not applicable;5;Ballot b
2018;Not applicable;High school;Male;White;2;Not applicable;Not applicable;Not applicable;Obama;High school;35;2;1181;62;0;Private;Not applicable;Married;Not applicable;Not applicable;6;Ballot c
2018;High school;High school;Male;White;1;Not applicable;Not applicable;Not applicable;Romney;High school;37;0;1182;22;0;Private;Not applicable;Never married;Not applicable;Not applicable;0;Ballot a
2018;High school;High school;Female;White;4;Not applicable;Not applicable;Not applicable;Romney;High school;51;2;1183;40;0;Private;Not applicable;Married;Not applicable;Not applicable;4;Ballot c
2018;Not applicable;Lt high school;Male;Other;2;Not applicable;Not applicable;Not applicable;Obama;Lt high school;85;1;1184;Not applicable;0;Private;Not applicable;Married;Not applicable;Not applicable;8;Ballot b
2018;High school;Bachelor;Female;White;4;Not applicable;Not applicable;Not applicable;Romney;Bachelor;49;2;1185;Not applicable;0;Private;Not applicable;Married;Not applicable;Not applicable;1;Ballot a
2018;High school;Graduate;Female;White;2;Not applicable;Not applicable;Not applicable;Obama;Graduate;68;2;1186;Not applicable;0;Private;Not applicable;Married;Not applicable;Not applicable;2;Ballot c
2018;High school;High school;Female;White;2;Not applicable;Not applicable;Not applicable;Romney;Junior college;70;2;1187;Not applicable;0;Private;Not applicable;Married;Not applicable;Not applicable;2;Ballot b
2018;Not applicable;High school;Male;White;1;Not applicable;Not applicable;Not applicable;Obama;High school;74;3;1188;Not applicable;0;Private;Not applicable;Widowed;Not applicable;Not applicable;5;Ballot c
2018;Lt high school;Lt high school;Female;White;2;Not applicable;Not applicable;Not applicable;Romney;High school;68;3;1189;10;0;Private;Not applicable;Married;Not applicable;Not applicable;3;Ballot b
2018;Bachelor;High school;Female;White;4;Not applicable;Not applicable;Not applicable;Romney;Bachelor;46;2;1190;38;0;Private;Not applicable;Married;Not applicable;Not applicable;5;Ballot a
2018;Not applicable;Junior college;Female;White;3;Not applicable;Not applicable;Not applicable;Romney;Junior college;51;2;1191;24;0;Private;Not applicable;Married;Not applicable;Not applicable;5;Ballot c
2018;High school;High school;Male;White;2;Not applicable;Not applicable;Not applicable;Romney;High school;66;2;1192;Not applicable;0;Private;Not applicable;Divorced;Not applicable;Not applicable;1;Ballot b
2018;Not applicable;High school;Male;White;2;Not applicable;Not applicable;Not applicable;Not applicable;High school;43;1;1193;30;0;Private;Not applicable;Never married;Not applicable;Not applicable;0;Ballot a
2018;Don't know;Don't know;Female;White;1;Not applicable;Not applicable;Not applicable;Not applicable;Lt high school;74;3;1194;Not applicable;0;Private;Not applicable;Widowed;Not applicable;Not applicable;5;Ballot c
2018;High school;Bachelor;Male;White;2;Not applicable;Not applicable;Not applicable;Romney;Graduate;74;3;1195;Not applicable;0;Private;Not applicable;Married;Not applicable;Not applicable;2;Ballot b
2018;High school;High school;Male;White;2;Not applicable;Not applicable;Not applicable;Romney;High school;85;4;1196;Not applicable;0;Government;Not applicable;Married;Not applicable;Not applicable;1;Ballot c
2018;High school;Junior college;Male;White;2;Not applicable;Not applicable;Not applicable;Other candidate (specify);Bachelor;49;0;1197;40;0;Private;Not applicable;Divorced;Not applicable;Not applicable;5;Ballot c
2018;Don't know;Lt high school;Female;White;3;Not applicable;Not applicable;Not applicable;Not applicable;High school;46;2;1198;Not applicable;0;Private;Not applicable;Married;Not applicable;Not applicable;2;Ballot a
2018;Bachelor;High school;Female;White;2;Not applicable;Not applicable;Not applicable;Obama;Bachelor;37;4;1199;Not applicable;0;Government;Not applicable;Married;Not applicable;Not applicable;2;Ballot c
2018;Don't know;Lt high school;Female;White;1;Not applicable;Not applicable;Not applicable;Not applicable;Lt high school;41;6;1200;39;0;Private;Not applicable;Separated;Not applicable;Not applicable;1;Ballot a
2018;Junior college;High school;Male;White;3;Not applicable;Not applicable;Not applicable;Not applicable;High school;22;1;1201;48;0;Private;Not applicable;Married;Not applicable;Not applicable;2;Ballot c
2018;Graduate;High school;Female;White;3;Not applicable;Not applicable;Not applicable;Not applicable;Graduate;43;1;1202;50;0;Private;Not applicable;Married;Not applicable;Not applicable;2;Ballot b
2018;High school;Bachelor;Female;White;2;Not applicable;Not applicable;Not applicable;Romney;Bachelor;73;4;1203;Not applicable;0;Government;Not applicable;Married;Not applicable;Not applicable;3;Ballot c
2018;High school;Bachelor;Female;White;3;Not applicable;Not applicable;Not applicable;Romney;Bachelor;34;1;1204;Not applicable;0;Government;Not applicable;Married;Not applicable;Not applicable;2;Ballot a
2018;Don't know;High school;Male;White;1;Not applicable;Not applicable;Not applicable;Obama;High school;87;3;1205;Not applicable;0;Private;Not applicable;Widowed;Not applicable;Not applicable;6;Ballot c
2018;Bachelor;High school;Female;White;2;Not applicable;Not applicable;Not applicable;Obama;Graduate;32;0;1206;Not applicable;0;Don't know;Not applicable;Never married;Not applicable;Not applicable;1;Ballot b
2018;Lt high school;Lt high school;Female;White;3;Not applicable;Not applicable;Not applicable;Not applicable;High school;31;1;1207;45;0;Private;Not applicable;Divorced;Not applicable;Not applicable;5;Ballot c
2018;High school;Not applicable;Male;White;2;Not applicable;Not applicable;Not applicable;Not applicable;High school;33;0;1208;Not applicable;0;Private;Not applicable;Never married;Not applicable;Not applicable;8;Ballot b
2018;High school;High school;Male;White;1;Not applicable;Not applicable;Not applicable;Not applicable;High school;69;2;1209;Not applicable;0;Private;Not applicable;Divorced;Not applicable;Not applicable;0;Ballot a
2018;High school;High school;Male;White;1;Not applicable;Not applicable;Not applicable;Romney;High school;77;0;1210;Not applicable;0;Private;Not applicable;Never married;Not applicable;Not applicable;2;Ballot c
2018;Not applicable;Don't know;Male;White;1;Not applicable;Not applicable;Not applicable;Not applicable;High school;52;2;1211;Not applicable;0;Government;Not applicable;Divorced;Not applicable;Not applicable;5;Ballot a
2018;High school;Not applicable;Male;White;1;Not applicable;Not applicable;Not applicable;Other candidate (specify);High school;37;0;1212;45;0;Private;Not applicable;Divorced;Not applicable;Not applicable;7;Ballot b
2018;Not applicable;High school;Male;White;1;Not applicable;Not applicable;Not applicable;Romney;High school;52;0;1213;40;0;Private;Not applicable;Never married;Not applicable;Not applicable;2;Ballot a
2018;Don't know;High school;Female;Other;1;Not applicable;Not applicable;Not applicable;Obama;Bachelor;38;0;1214;40;0;Private;Not applicable;Never married;Not applicable;Not applicable;1;Ballot c
2018;Don't know;Graduate;Male;Other;2;Not applicable;Not applicable;Not applicable;Not applicable;High school;55;4;1215;25;0;Private;Not applicable;Divorced;Not applicable;Not applicable;2;Ballot c
2018;Lt high school;High school;Female;White;2;Not applicable;Not applicable;Not applicable;Obama;High school;75;3;1216;Not applicable;0;Government;Not applicable;Married;Not applicable;Not applicable;3;Ballot b
2018;Not applicable;High school;Female;White;2;Not applicable;Not applicable;Not applicable;Obama;High school;50;1;1217;50;0;Private;Not applicable;Married;Not applicable;Not applicable;6;Ballot a
2018;Lt high school;High school;Female;White;3;Not applicable;Not applicable;Not applicable;Not applicable;High school;25;1;1218;52;0;Government;Not applicable;Never married;Not applicable;Not applicable;8;Ballot c
2018;High school;Bachelor;Male;White;2;Not applicable;Not applicable;Not applicable;Not applicable;High school;28;2;1219;55;0;Private;Not applicable;Married;Not applicable;Not applicable;3;Ballot c
2018;High school;High school;Male;White;1;Not applicable;Not applicable;Not applicable;Obama;Bachelor;76;3;1220;Not applicable;0;Private;Not applicable;Divorced;Not applicable;Not applicable;3;Ballot c
2018;High school;Junior college;Male;White;3;Not applicable;Not applicable;Not applicable;Romney;Bachelor;52;6;1221;40;0;Private;Not applicable;Married;Not applicable;Not applicable;4;Ballot a
2018;High school;Bachelor;Male;White;5;Not applicable;Not applicable;Not applicable;Not applicable;High school;22;0;1222;40;0;Private;Not applicable;Never married;Not applicable;Not applicable;2;Ballot c
2018;Lt high school;High school;Male;White;2;Not applicable;Not applicable;Not applicable;Obama;Lt high school;57;1;1223;35;0;Private;Not applicable;Widowed;Not applicable;Not applicable;1;Ballot b
2018;Not applicable;Lt high school;Female;White;1;Not applicable;Not applicable;Not applicable;Not applicable;Lt high school;84;5;1224;Not applicable;0;Government;Not applicable;Divorced;Not applicable;Not applicable;9;Ballot b
2018;Lt high school;Lt high school;Female;White;2;Not applicable;Not applicable;Not applicable;Not applicable;High school;63;2;1225;40;0;Private;Not applicable;Married;Not applicable;Not applicable;2;Ballot c
2018;Not applicable;Graduate;Female;Black;1;Not applicable;Not applicable;Not applicable;Obama;Graduate;58;3;1226;55;0;Government;Not applicable;Widowed;Not applicable;Not applicable;7;Ballot b
2018;Lt high school;Lt high school;Female;White;2;Not applicable;Not applicable;Not applicable;Not applicable;High school;43;1;1227;Not applicable;0;Private;Not applicable;Married;Not applicable;Not applicable;2;Ballot c
2018;High school;High school;Female;White;3;Not applicable;Not applicable;Not applicable;Not applicable;High school;25;0;1228;50;0;Private;Not applicable;Never married;Not applicable;Not applicable;7;Ballot a
2018;Not applicable;High school;Male;White;4;Not applicable;Not applicable;Not applicable;Not applicable;Lt high school;39;0;1229;40;0;Private;Not applicable;Married;Not applicable;Not applicable;2;Ballot c
2018;High school;Not applicable;Female;White;6;Not applicable;Not applicable;Not applicable;Not applicable;Junior college;31;3;1230;40;0;Private;Not applicable;Never married;Not applicable;Not applicable;6;Ballot b
2018;Junior college;Bachelor;Female;White;3;Not applicable;Not applicable;Not applicable;Not applicable;High school;39;2;1231;45;0;Private;Not applicable;Divorced;Not applicable;Not applicable;6;Ballot a
2018;High school;High school;Female;Black;4;Not applicable;Not applicable;Not applicable;Obama;High school;34;3;1232;38;0;Private;Not applicable;Never married;Not applicable;Not applicable;7;Ballot a
2018;Not applicable;High school;Male;White;2;Not applicable;Not applicable;Not applicable;Not applicable;Junior college;27;0;1233;40;0;Private;Not applicable;Married;Not applicable;Not applicable;4;Ballot b
2018;High school;High school;Male;White;3;Not applicable;Not applicable;Not applicable;Obama;High school;35;0;1234;43;0;Private;Not applicable;Never married;Not applicable;Not applicable;1;Ballot a
2018;High school;High school;Female;White;1;Not applicable;Not applicable;Not applicable;Not applicable;High school;24;0;1235;40;0;Private;Not applicable;Never married;Not applicable;Not applicable;3;Ballot c
2018;Not applicable;High school;Male;White;1;Not applicable;Not applicable;Not applicable;Didn't vote for president;Bachelor;48;2;1236;40;0;Government;Not applicable;Never married;Not applicable;Not applicable;5;Ballot b
2018;Bachelor;Bachelor;Male;White;2;Not applicable;Not applicable;Not applicable;Not applicable;High school;21;0;1237;Not applicable;0;Private;Not applicable;Never married;Not applicable;Not applicable;3;Ballot a
2018;Bachelor;Bachelor;Male;White;2;Not applicable;Not applicable;Not applicable;Not applicable;High school;30;0;1238;64;0;Private;Not applicable;Never married;Not applicable;Not applicable;1;Ballot c
2018;Graduate;Graduate;Male;Other;1;Not applicable;Not applicable;Not applicable;Not applicable;High school;36;1;1239;60;0;Private;Not applicable;Never married;Not applicable;Not applicable;1;Ballot b
2018;High school;High school;Male;White;1;Not applicable;Not applicable;Not applicable;Romney;High school;52;0;1240;Not applicable;0;Private;Not applicable;Never married;Not applicable;Not applicable;2;Ballot b
2018;Bachelor;High school;Male;White;4;Not applicable;Not applicable;Not applicable;Not applicable;Graduate;36;2;1241;50;0;Private;Not applicable;Married;Not applicable;Not applicable;1;Ballot b
2018;High school;Lt high school;Female;White;1;Not applicable;Not applicable;Not applicable;Obama;Graduate;80;0;1242;Not applicable;0;Government;Not applicable;Widowed;Not applicable;Not applicable;2;Ballot a
2018;Bachelor;Bachelor;Female;White;1;Not applicable;Not applicable;Not applicable;Not applicable;Bachelor;27;0;1243;40;0;Private;Not applicable;Never married;Not applicable;Not applicable;1;Ballot c
2018;Not applicable;Bachelor;Female;White;3;Not applicable;Not applicable;Not applicable;Romney;Bachelor;24;0;1244;42;0;Private;Not applicable;Never married;Not applicable;Not applicable;4;Ballot b
2018;High school;High school;Female;White;3;Not applicable;Not applicable;Not applicable;Obama;High school;44;2;1245;40;0;Private;Not applicable;Divorced;Not applicable;Not applicable;2;Ballot a
2018;Lt high school;Lt high school;Male;White;2;Not applicable;Not applicable;Not applicable;Obama;Lt high school;89 or older;5;1246;Not applicable;0;Private;Not applicable;Married;Not applicable;Not applicable;2;Ballot b
2018;High school;High school;Male;Black;3;Not applicable;Not applicable;Not applicable;Not applicable;High school;22;0;1247;40;0;Private;Not applicable;Never married;Not applicable;Not applicable;2;Ballot c
2018;High school;High school;Male;Other;7;Not applicable;Not applicable;Not applicable;Not applicable;High school;48;4;1248;Not applicable;0;Private;Not applicable;Married;Not applicable;Not applicable;5;Ballot b
2018;Lt high school;Lt high school;Female;White;4;Not applicable;Not applicable;Not applicable;Obama;Lt high school;33;3;1249;40;0;Government;Not applicable;Never married;Not applicable;Not applicable;5;Ballot c
2018;Lt high school;Lt high school;Female;Other;2;Not applicable;Not applicable;Not applicable;Obama;Lt high school;59;2;1250;Not applicable;0;Private;Not applicable;Widowed;Not applicable;Not applicable;17;Ballot b
2018;Not applicable;Junior college;Male;Other;1;Not applicable;Not applicable;Not applicable;Romney;High school;43;0;1251;40;0;Private;Not applicable;Never married;Not applicable;Not applicable;5;Ballot a
2018;Lt high school;Lt high school;Female;Other;5;Not applicable;Not applicable;Not applicable;Not applicable;Lt high school;32;1;1252;Not applicable;0;Private;Not applicable;Married;Not applicable;Not applicable;3;Ballot c
2018;High school;Not applicable;Female;White;1;Not applicable;Not applicable;Not applicable;Obama;Junior college;62;2;1253;Not applicable;0;Private;Not applicable;Divorced;Not applicable;Not applicable;1;Ballot a
2018;High school;Graduate;Female;White;3;Not applicable;Not applicable;Not applicable;Not applicable;High school;53;2;1254;20;0;Private;Not applicable;Married;Not applicable;Not applicable;8;Ballot a
2018;High school;Not applicable;Female;White;1;Not applicable;Not applicable;Not applicable;Romney;High school;59;2;1255;32;0;Private;Not applicable;Married;Not applicable;Not applicable;1;Ballot b
2018;Lt high school;Lt high school;Male;White;4;Not applicable;Not applicable;Not applicable;Not applicable;High school;47;3;1256;70;0;Private;Not applicable;Married;Not applicable;Not applicable;7;Ballot b
2018;Lt high school;High school;Female;White;4;Not applicable;Not applicable;Not applicable;Not applicable;High school;18;0;1257;Not applicable;0;Not applicable;Not applicable;Never married;Not applicable;Not applicable;5;Ballot a
2018;High school;Lt high school;Male;White;1;Not applicable;Not applicable;Not applicable;Not applicable;High school;64;2;1258;30;0;Government;Not applicable;Widowed;Not applicable;Not applicable;8;Ballot a
2018;Not applicable;High school;Male;White;3;Not applicable;Not applicable;Not applicable;Not applicable;High school;22;0;1259;22;0;Private;Not applicable;Never married;Not applicable;Not applicable;3;Ballot c
2018;Graduate;Graduate;Female;White;2;Not applicable;Not applicable;Not applicable;Obama;Bachelor;37;0;1260;75;0;Private;Not applicable;Married;Not applicable;Not applicable;1;Ballot b
2018;Bachelor;Bachelor;Female;White;1;Not applicable;Not applicable;Not applicable;Obama;Bachelor;31;0;1261;40;0;Private;Not applicable;Never married;Not applicable;Not applicable;1;Ballot a
2018;Don't know;High school;Female;White;1;Not applicable;Not applicable;Not applicable;Obama;High school;72;1;1262;Not applicable;0;Government;Not applicable;Widowed;Not applicable;Not applicable;1;Ballot b
2018;High school;Bachelor;Female;White;2;Not applicable;Not applicable;Not applicable;Obama;Bachelor;32;0;1263;40;0;Government;Not applicable;Married;Not applicable;Not applicable;0;Ballot c
2018;High school;Graduate;Male;White;2;Not applicable;Not applicable;Not applicable;Obama;Bachelor;69;0;1264;Not applicable;0;Private;Not applicable;Married;Not applicable;Not applicable;1;Ballot c
2018;High school;High school;Female;White;1;Not applicable;Not applicable;Not applicable;Other candidate (specify);Bachelor;32;0;1265;45;0;Private;Not applicable;Never married;Not applicable;Not applicable;0;Ballot b
2018;Junior college;Junior college;Male;White;2;Not applicable;Not applicable;Not applicable;Obama;Bachelor;32;0;1266;45;0;Private;Not applicable;Never married;Not applicable;Not applicable;1;Ballot b
2018;Lt high school;Junior college;Female;White;1;Not applicable;Not applicable;Not applicable;Not applicable;Junior college;60;4;1267;35;0;Government;Not applicable;Divorced;Not applicable;Not applicable;3;Ballot a
2018;Lt high school;Lt high school;Male;White;1;Not applicable;Not applicable;Not applicable;Not applicable;Lt high school;70;2;1268;Not applicable;0;Private;Not applicable;Widowed;Not applicable;Not applicable;1;Ballot b
2018;Not applicable;High school;Female;Other;2;Not applicable;Not applicable;Not applicable;Obama;Junior college;41;1;1269;60;0;Private;Not applicable;Never married;Not applicable;Not applicable;4;Ballot a
2018;Not applicable;Bachelor;Female;White;2;Not applicable;Not applicable;Not applicable;Obama;Junior college;35;0;1270;Not applicable;0;Private;Not applicable;Never married;Not applicable;Not applicable;2;Ballot b
2018;High school;Graduate;Female;White;1;Not applicable;Not applicable;Not applicable;Romney;Junior college;77;3;1271;Not applicable;0;Government;Not applicable;Divorced;Not applicable;Not applicable;1;Ballot a
2018;Don't know;High school;Male;White;1;Not applicable;Not applicable;Not applicable;Not applicable;High school;57;1;1272;20;0;Private;Not applicable;Separated;Not applicable;Not applicable;5;Ballot c
